問題形式/解答/解説,問題文群,難易度,,,
同音異義,材料に対して●加工を行う。,1,,,
けんさく,地域開発について知事に●する。,,,,
研削、献策、検索,●機能を活用する。,,,,
誤字訂正,<一同>が会する式場に<滑>り込みで<入場>した彼は、,2,,,
いちどう,<正>に<危機一髪>といったところだろう。,,,,
一同→一堂,,,,,
故事成語,自分勝手に行動する,1,,,
我田引水,本気で物事に打ち込む,,,,
我田引水の意味,他人の意見に同意する,,,,
四字熟語,偸安,3,,,
苟且,偸光,,,,
一時の快楽に逃げること,偸盗,,,,
部品選択,香,3,,,
木へんを足して「かつら」と読む,万,,,,
楿,典,,,,
和同開珎,　　翌,4,,,
檜,弱→？→皮,,,,
翌檜、弱檜、檜皮、檜柏,　　柏,,,,
同字熟語,飛び出た釘でジクイする。,5,,,
勝負にハイジクする。,ジクジたる思いである。,,,,
敗衂、衄痍,海賊船のジクロに立つ。,,,,
異字同訓,楷書で氏名を<書>く。,2,,,
さ,名前を呼ばれて<答>える。,,,,
覚める→冷める,興奮が<覚>める。,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
